W.Length,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 2,Tumor beforePDT 2,Tumor beforePDT 2,Tumor beforePDT 2,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,doctor's hand (norm),doctor's hand (norm),doctor's hand (norm),TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,Tumor edge AFTER PDT,Tumor edge AFTER PDT,Tumor edge AFTER PDT,doctor's hand (norm),doctor's hand (norm),doctor's hand (norm)
314.8444444,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
315.1555556,-0.839158499,-1.938503257,-1.01721691,-0.970240578,-0.103563565,-1.039990627,-1.454241777,-1.347234199,-0.674713497,-1.145976828,-0.272175692,-0.35478335,-0.229815821,-0.038067166,-0.952708702,-0.282335675,-0.435038512,-0.387167957,-0.298365748,-0.335277829,-1.079695076,-1.480145623,-1.011089964,-1.314047566,-0.701925911,-1.985118019,-1.508142983,-1.322832703,-1.322832703,-1.274035528,-1.383034484,-1.607191417,-1.497100414,-1.164994488,-1.206424327,-0.986505385,-1.333848888,-1.673203233
315.4666667,-1.068411494,-1.66664859,-1.062177376,-0.985834922,-0.356462216,-1.071411254,-1.30190695,-1.431421412,-0.592102442,-0.905874258,-0.364402958,-0.032671747,0.058239291,0.285605665,-0.903259389,-0.015487739,-0.389362331,-0.46977073,-0.236509965,-0.439662103,-0.34416619,-0.846224017,-0.526630853,-0.640932259,-0.104947551,-1.273832214,-0.956109362,-0.771685926,-0.771685926,-0.638074807,-0.733969067,-0.982109816,-0.905541282,-0.724184199,-0.712013358,-0.282379334,-0.708462104,-1.166538322
315.7777778,-0.432186112,-0.567052755,-0.286457455,-0.185005287,0.248698142,-0.274938771,-0.317274416,-0.679651138,0.299418781,0.135011177,0.349029512,1.123692074,1.168342389,1.417232787,-0.029153849,1.058682793,0.413208572,0.256314468,0.574136693,0.248966035,1.220697681,0.677882937,0.833204123,0.910881472,1.287500873,0.300854897,0.472072939,0.642908758,0.642908758,0.856990116,0.817015947,0.552112886,0.63422456,0.708992722,0.733359599,1.465968692,0.885357124,0.32863778
316.0888889,1.005762217,1.258988568,1.223925756,1.341509783,1.631790834,1.265992946,1.398331514,0.832883366,1.904525324,1.872496218,1.782324412,3.001729148,2.998268088,3.248339658,1.575136458,2.838884164,1.88680947,1.706913545,2.052448411,1.650827881,3.218922058,2.717198231,2.696903968,2.956393475,3.080992612,2.358428996,2.406864799,2.55141446,2.55141446,2.829951441,2.894784795,2.605853581,2.757336692,2.785745055,2.763229877,3.925629424,3.088434825,2.475709586
316.4,2.794392416,3.33149151,3.004617452,3.125315246,3.325674542,3.087783743,3.36296313,2.652760214,3.753821229,3.834306182,3.476731367,5.120381432,5.076726986,5.303820837,3.44038043,4.857492543,3.583268685,3.429191299,3.759420842,3.322073116,4.895756959,4.520368624,4.320060671,4.735539167,4.541654978,4.145721773,4.098959805,4.205263962,4.205263962,4.528405199,4.740684851,4.404041523,4.691678031,4.739446633,4.611794993,6.323717917,5.125796109,4.514083248
316.7111111,4.080445924,4.781141039,4.202074403,4.309764297,4.467301155,4.334314369,4.70567851,3.93286383,4.992321325,5.168273875,4.588529986,6.61979536,6.549968273,6.729761808,4.710824639,6.266414419,4.67612845,4.587682354,4.879554371,4.438928101,5.244976141,5.062841147,4.689416366,5.219120042,4.705999327,4.640233895,4.521091214,4.57917232,4.57917232,4.933543458,5.315762266,4.895072214,5.356957789,5.482669579,5.215054426,7.534145838,5.903201038,5.348659064
317.0222222,3.697075029,4.440239494,3.663883319,3.740359091,3.891757217,3.846539923,4.259884555,3.517917479,4.467901375,4.728139164,3.976386373,6.347332318,6.266166465,6.37842719,4.231818838,5.920401134,4.041975876,4.047724421,4.298268779,3.877783261,3.208246935,3.247332733,2.723187253,3.31167459,2.576045418,2.750389317,2.568810969,2.572496701,2.572496701,2.960984724,3.503797255,2.959022309,3.571217743,3.814255137,3.415664648,6.282547633,4.213889089,3.75266189
317.3333333,0.350532196,1.029273711,0.123863158,0.149946244,0.321706586,0.348175778,0.751405529,0.12658381,0.914338055,1.252410109,0.382665821,3.035417859,2.953740888,2.98635018,0.731755022,2.554328196,0.435539447,0.552149563,0.773070431,0.387930101,-2.073515016,-1.838175098,-2.472447542,-1.889252662,-2.640626064,-2.426947585,-2.679444808,-2.730419737,-2.730419737,-2.282576192,-1.62597934,-2.326832209,-1.67489236,-1.3032857,-1.768328632,1.432258772,-0.983755002,-1.353514937
317.6444444,-7.12769424,-6.593593594,-7.55081208,-7.593879003,-7.381867259,-7.305119912,-6.952224301,-7.400891073,-6.802647986,-6.393741535,-7.322629239,-4.458159437,-4.535942788,-4.584056834,-6.932672403,-4.974811075,-7.270752781,-7.038261232,-6.829337171,-7.171273654,-11.01614864,-10.66544412,-11.35122083,-10.83856446,-11.30332113,-11.35219668,-11.7040035,-11.80227699,-11.80227699,-11.24751004,-10.55815531,-11.42809827,-10.93950637,-10.46014716,-10.87319044,-7.713068497,-10.28156942,-10.61072254
317.9555556,-19.51694268,-19.17338662,-20.10333354,-20.23196114,-19.96159442,-19.86626304,-19.58478879,-19.84155289,-19.42835026,-18.96376776,-19.88676269,-16.89670762,-16.97165517,-17.08936271,-19.51921496,-17.43124438,-19.83268392,-19.49024297,-19.2787223,-19.57717146,-23.41947572,-23.08032713,-23.74493863,-23.3603303,-23.18320347,-23.8584305,-24.35457099,-24.48463402,-24.48463402,-23.76012063,-23.14037,-24.16704831,-24.11836413,-23.58225422,-23.78718014,-21.16661955,-23.60309904,-23.9908009
318.2666667,-36.99383148,-36.85092708,-37.68235292,-37.90802249,-37.55939396,-37.48830774,-37.27767999,-37.37629631,-37.11145261,-36.6212675,-37.46774036,-34.45591216,-34.53067218,-34.69560878,-37.19077822,-34.98870171,-37.42483659,-36.98812639,-36.76855214,-37.03229197,-38.41699132,-38.24084376,-38.80552904,-38.58986474,-37.42714933,-39.09087332,-39.7853136,-39.92484758,-39.92484758,-38.96573756,-38.51858069,-39.66502696,-40.36210724,-39.84324344,-39.67455826,-38.1437604,-40.11401809,-40.69309451
318.5777778,-59.0240554,-59.06100848,-59.74119236,-60.0674016,-59.6184187,-59.62091042,-59.46215105,-59.47895086,-59.29938371,-58.83095665,-59.52930669,-56.61261398,-56.68648928,-56.86805789,-59.40765832,-57.11798477,-59.52952709,-59.02173111,-58.79908262,-59.04765227,-54.57182299,-54.70579465,-55.0967931,-55.06719487,-52.65970633,-55.59737341,-56.54220396,-56.66543299,-56.66543299,-55.42162094,-55.22637101,-56.43934477,-58.15498736,-57.73942727,-57.05645988,-57.11680651,-58.29618478,-59.20610202
318.8888889,-84.39237804,-84.56769112,-85.07180294,-85.49113613,-84.92101603,-85.04341984,-84.90761129,-84.94163287,-84.76889313,-84.38230388,-84.86941351,-82.16454759,-82.23009038,-82.3939917,-84.954163,-82.60837156,-84.95784381,-84.40572004,-84.1917253,-84.45544557,-70.10723461,-70.66421813,-70.82520664,-70.97111512,-67.20851822,-71.56001469,-72.79350089,-72.87600955,-72.87600955,-71.32870683,-71.41889309,-72.64274275,-75.5491575,-75.32256304,-74.041478,-76.0403885,-76.18072595,-77.53341668
319.2,-111.3718298,-111.6365234,-111.9728976,-112.4651718,-111.7608567,-112.0347285,-111.8943954,-112.0389768,-111.7931892,-111.5493486,-111.7837042,-109.3856525,-109.4290972,-109.5425702,-112.1020964,-109.7274014,-112.0067257,-111.4347792,-111.2408928,-111.5572976,-83.22561101,-84.2600965,-84.1635392,-84.44707054,-79.40694346,-85.1219105,-86.65773227,-86.68151618,-86.68151618,-84.85562663,-85.20503749,-86.39697263,-90.50933351,-90.54529542,-88.66097094,-92.70589186,-91.69528538,-93.54183792
319.5111111,-137.9995818,-138.3103274,-138.5193315,-139.0518998,-138.2150589,-138.6469889,-138.4868729,-138.8005108,-138.4142407,-138.3580997,-138.3333473,-136.2900685,-136.2965453,-136.3333594,-138.8810778,-136.490748,-138.7236829,-138.1471343,-137.9771125,-138.3828895,-92.44603399,-93.94117156,-93.59604073,-93.95680731,-87.90682094,-94.73748283,-96.55738059,-96.51450961,-96.51450961,-94.4835187,-95.00490654,-96.14672037,-101.2932416,-101.6442354,-99.23633956,-105.1495491,-103.050217,-105.3572555
319.8222222,-162.4005483,-162.729392,-162.8748592,-163.4059305,-162.4576193,-163.0245513,-162.8479323,-163.3336058,-162.7628348,-162.906629,-162.6609286,-160.9517429,-160.9141526,-160.8584411,-163.3994418,-160.9866934,-163.2243067,-162.6426298,-162.4878986,-163.0072626,-96.88394453,-98.75270414,-98.20654715,-98.57021139,-91.93027017,-99.46644818,-101.5179819,-101.4113732,-101.4113732,-99.29296146,-99.85110585,-100.953144,-106.7820981,-107.4741171,-104.695534,-112.0230285,-109.0765442,-111.7195894
320.1333333,-183.0876216,-183.4255363,-183.5796149,-184.0648511,-183.0453658,-183.6980038,-183.5255472,-184.1263752,-183.3567192,-183.6694783,-183.2859274,-181.8125388,-181.7409217,-181.5891569,-184.1465323,-181.6854497,-183.9942127,-183.387793,-183.2279266,-183.8604001,-96.40910008,-98.50902332,-97.84342162,-98.13241642,-91.4034127,-99.14389005,-101.3441829,-101.184665,-101.184665,-99.12719787,-99.56447687,-100.6599077,-106.6857754,-107.7167964,-104.7668665,-112.842416,-109.4385465,-112.2159671
320.4444444,-199.1729943,-199.5258093,-199.7500724,-200.1518585,-199.1147592,-199.7892434,-199.6492458,-200.2643549,-199.312096,-199.7210322,-199.3159587,-197.9136433,-197.8406686,-197.6013913,-200.2111646,-197.6662652,-200.1102797,-199.4427521,-199.2516159,-199.963681,-91.64695178,-93.80482363,-93.12468711,-93.26900523,-86.94338783,-94.38827336,-96.63357759,-96.43354095,-96.43354095,-94.59552219,-94.76476081,-95.89534807,-101.5768346,-102.918552,-100.007222,-108.059801,-104.6735149,-107.3397135
320.7555556,-210.4469845,-210.824085,-211.151232,-211.449098,-210.4503561,-211.085628,-210.9970829,-211.5158377,-210.4247927,-210.8315055,-210.5303997,-209.0026441,-208.9811224,-208.6723947,-211.3710804,-208.7145097,-211.3353406,-210.5631343,-210.3191697,-211.0444443,-83.82614289,-85.86677838,-85.28530588,-85.23118211,-79.70547587,-86.44836896,-88.62821111,-88.3933808,-88.3933808,-86.9194515,-86.71653354,-87.91416943,-92.74856641,-94.35046097,-91.66142721,-98.94396211,-96.05279194,-98.36429437
321.0666667,-217.3134242,-217.7116065,-218.1325425,-218.3325304,-217.4176128,-217.9736486,-217.9260939,-218.2729525,-217.1091761,-217.4193958,-217.3239818,-215.4975331,-215.587815,-215.232701,-218.0392501,-215.271944,-218.0709237,-217.159556,-216.8569882,-217.5080948,-74.51120191,-76.28397453,-75.90613458,-75.62086909,-71.13016487,-76.92849872,-78.9422136,-78.66403154,-78.66403154,-77.66184339,-77.05008861,-78.32028559,-81.93384772,-83.72865552,-81.38945757,-87.3018375,-85.30073977,-87.0652318
321.3777778,-220.6054227,-220.9919365,-221.4521511,-221.5927205,-220.7854989,-221.2566641,-221.1925637,-221.3705475,-220.2170214,-220.3779684,-220.5313604,-218.3218504,-218.570225,-218.1908955,-221.0869031,-218.2582117,-221.1863466,-220.1305316,-219.7875826,-220.2798635,-65.285239,-66.68305705,-66.5908242,-66.06284885,-62.65202472,-67.45922923,-69.2320494,-68.88345775,-68.88345775,-68.40560763,-67.42549375,-68.73909114,-70.95314274,-72.86306279,-70.92797709,-75.10880161,-74.2406312,-75.35776266
321.6888889,-221.3330749,-221.6327162,-222.0398011,-222.1922852,-221.4895172,-221.9081081,-221.7139289,-221.8335134,-220.7862422,-220.8220081,-221.1809597,-218.653971,-219.0667988,-218.6780874,-221.5914351,-218.811297,-221.7707412,-220.613172,-220.2739554,-220.5573787,-57.45615604,-58.42393361,-58.66613692,-57.90052303,-55.43787816,-59.39062993,-60.8863197,-60.42317603,-60.42317603,-60.45742641,-59.21859251,-60.51590429,-61.37347085,-63.31678473,-61.76496903,-64.13409107,-64.45047851,-64.93485429
322,-220.4283888,-220.5191969,-220.7605108,-221.0231476,-220.3968719,-220.8243547,-220.3352293,-220.6180089,-219.7835891,-219.8175678,-220.240658,-217.6511396,-218.1722295,-217.7756302,-220.5727576,-218.0117696,-220.8703179,-219.7128744,-219.4414316,-219.5335331,-51.84989565,-52.38244344,-52.9710239,-51.98171097,-50.21017775,-53.57541292,-54.80282395,-54.17180403,-54.17180403,-54.64125385,-53.29807593,-54.50603886,-54.25275618,-56.15073146,-54.89837463,-55.64389313,-57.00448086,-56.98534064
322.3111111,-218.5491805,-218.2697848,-218.2364536,-218.7224035,-218.1303045,-218.6372175,-217.657245,-218.4096125,-217.902872,-218.1579567,-218.4158722,-216.2112617,-216.7108135,-216.2899951,-218.7806318,-216.6560185,-219.2727342,-218.2744767,-218.141877,-218.1525927,-48.72900124,-48.86083782,-49.77383285,-48.57465181,-47.18659383,-50.28304237,-51.2949295,-50.44689867,-50.44689867,-51.219947,-49.93622626,-50.99483001,-50.01851809,-51.80239585,-50.72464325,-50.24058352,-52.34992851,-52.04754997
322.6222222,-215.9845114,-215.1537091,-214.765149,-215.586329,-214.9876626,-215.6266132,-213.9630251,-215.5228961,-215.4622165,-216.2341753,-216.0434696,-214.8226794,-215.1043406,-214.6232196,-216.578915,-215.1277968,-217.3845622,-216.7433706,-216.8111807,-216.9508148,-47.8416131,-47.63276865,-48.82282049,-47.41967977,-46.13590813,-49.25091621,-50.13476963,-49.04074611,-49.04074611,-49.94896866,-48.86028317,-49.75099054,-48.49391531,-50.11145194,-49.06831671,-47.8596454,-50.33277554,-50.0171737
